DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC
Preattentive Test,4,141,1,2,Addition,Low
Preattentive Test,4,142,1,2,Addition,Low
Preattentive Test,4,143,1,2,Addition,Low
Preattentive Test,4,144,1,2,Addition,Low
Preattentive Test,4,145,1,2,Addition,Low
Preattentive Test,4,146,1,3,Addition,High
Preattentive Test,4,147,1,3,Addition,High
Preattentive Test,4,148,1,3,Addition,High
Preattentive Test,4,149,1,3,Addition,High
Preattentive Test,4,150,1,3,Addition,High
Preattentive Test,4,151,2,1,Color,Medium
Preattentive Test,4,152,2,1,Color,Medium
Preattentive Test,4,153,2,1,Color,Medium
Preattentive Test,4,154,2,1,Color,Medium
Preattentive Test,4,155,2,1,Color,Medium
Preattentive Test,4,156,2,2,Color,Low
Preattentive Test,4,157,2,2,Color,Low
Preattentive Test,4,158,2,2,Color,Low
Preattentive Test,4,159,2,2,Color,Low
Preattentive Test,4,160,2,2,Color,Low
Preattentive Test,4,161,2,3,Color,High
Preattentive Test,4,162,2,3,Color,High
Preattentive Test,4,163,2,3,Color,High
Preattentive Test,4,164,2,3,Color,High
Preattentive Test,4,165,2,3,Color,High
Preattentive Test,4,166,3,1,ColorAddition,Medium
Preattentive Test,4,167,3,1,ColorAddition,Medium
Preattentive Test,4,168,3,1,ColorAddition,Medium
Preattentive Test,4,169,3,1,ColorAddition,Medium
Preattentive Test,4,170,3,1,ColorAddition,Medium
Preattentive Test,4,171,3,2,ColorAddition,Low
Preattentive Test,4,172,3,2,ColorAddition,Low
Preattentive Test,4,173,3,2,ColorAddition,Low
Preattentive Test,4,174,3,2,ColorAddition,Low
Preattentive Test,4,175,3,2,ColorAddition,Low
Preattentive Test,4,176,3,3,ColorAddition,High
Preattentive Test,4,177,3,3,ColorAddition,High
Preattentive Test,4,178,3,3,ColorAddition,High
Preattentive Test,4,179,3,3,ColorAddition,High
Preattentive Test,4,180,3,3,ColorAddition,High
Preattentive Test,5,181,1,1,ColorAddition,High
Preattentive Test,5,182,1,1,ColorAddition,High
Preattentive Test,5,183,1,1,ColorAddition,High
Preattentive Test,5,184,1,1,ColorAddition,High
Preattentive Test,5,185,1,1,ColorAddition,High
Preattentive Test,5,186,1,2,ColorAddition,Medium
Preattentive Test,5,187,1,2,ColorAddition,Medium
Preattentive Test,5,188,1,2,ColorAddition,Medium
Preattentive Test,5,189,1,2,ColorAddition,Medium
Preattentive Test,5,190,1,2,ColorAddition,Medium
Preattentive Test,5,191,1,3,ColorAddition,Low
Preattentive Test,5,192,1,3,ColorAddition,Low
Preattentive Test,5,193,1,3,ColorAddition,Low
Preattentive Test,5,194,1,3,ColorAddition,Low
Preattentive Test,5,195,1,3,ColorAddition,Low
Preattentive Test,5,196,2,1,Addition,High
Preattentive Test,5,197,2,1,Addition,High
Preattentive Test,5,198,2,1,Addition,High
Preattentive Test,5,199,2,1,Addition,High
Preattentive Test,5,200,2,1,Addition,High
Preattentive Test,5,201,2,2,Addition,Medium
Preattentive Test,5,202,2,2,Addition,Medium
Preattentive Test,5,203,2,2,Addition,Medium
Preattentive Test,5,204,2,2,Addition,Medium
Preattentive Test,5,205,2,2,Addition,Medium
Preattentive Test,5,206,2,3,Addition,Low
Preattentive Test,5,207,2,3,Addition,Low
Preattentive Test,5,208,2,3,Addition,Low
Preattentive Test,5,209,2,3,Addition,Low
Preattentive Test,5,210,2,3,Addition,Low
Preattentive Test,5,211,3,1,Color,High
Preattentive Test,5,212,3,1,Color,High
Preattentive Test,5,213,3,1,Color,High
Preattentive Test,5,214,3,1,Color,High
Preattentive Test,5,215,3,1,Color,High
Preattentive Test,5,216,3,2,Color,Medium
Preattentive Test,5,217,3,2,Color,Medium
Preattentive Test,5,218,3,2,Color,Medium
Preattentive Test,5,219,3,2,Color,Medium
Preattentive Test,5,220,3,2,Color,Medium
Preattentive Test,5,221,3,3,Color,Low
Preattentive Test,5,222,3,3,Color,Low
Preattentive Test,5,223,3,3,Color,Low
Preattentive Test,5,224,3,3,Color,Low
Preattentive Test,5,225,3,3,Color,Low
Preattentive Test,6,226,1,1,Color,Low
Preattentive Test,6,227,1,1,Color,Low
Preattentive Test,6,228,1,1,Color,Low
Preattentive Test,6,229,1,1,Color,Low
Preattentive Test,6,230,1,1,Color,Low
Preattentive Test,6,231,1,2,Color,High
Preattentive Test,6,232,1,2,Color,High
Preattentive Test,6,233,1,2,Color,High
Preattentive Test,6,234,1,2,Color,High
Preattentive Test,6,235,1,2,Color,High
Preattentive Test,6,236,1,3,Color,Medium
Preattentive Test,6,237,1,3,Color,Medium
Preattentive Test,6,238,1,3,Color,Medium
Preattentive Test,6,239,1,3,Color,Medium
Preattentive Test,6,240,1,3,Color,Medium
Preattentive Test,6,241,2,1,ColorAddition,Low
Preattentive Test,6,242,2,1,ColorAddition,Low
Preattentive Test,6,243,2,1,ColorAddition,Low
Preattentive Test,6,244,2,1,ColorAddition,Low
Preattentive Test,6,245,2,1,ColorAddition,Low
Preattentive Test,6,246,2,2,ColorAddition,High
Preattentive Test,6,247,2,2,ColorAddition,High
Preattentive Test,6,248,2,2,ColorAddition,High
Preattentive Test,6,249,2,2,ColorAddition,High
Preattentive Test,6,250,2,2,ColorAddition,High
Preattentive Test,6,251,2,3,ColorAddition,Medium
Preattentive Test,6,252,2,3,ColorAddition,Medium
Preattentive Test,6,253,2,3,ColorAddition,Medium
Preattentive Test,6,254,2,3,ColorAddition,Medium
Preattentive Test,6,255,2,3,ColorAddition,Medium
Preattentive Test,6,256,3,1,Addition,Low
Preattentive Test,6,257,3,1,Addition,Low
Preattentive Test,6,258,3,1,Addition,Low
Preattentive Test,6,259,3,1,Addition,Low
Preattentive Test,6,260,3,1,Addition,Low
Preattentive Test,6,261,3,2,Addition,High
Preattentive Test,6,262,3,2,Addition,High
Preattentive Test,6,263,3,2,Addition,High
Preattentive Test,6,264,3,2,Addition,High
Preattentive Test,6,265,3,2,Addition,High
Preattentive Test,6,266,3,3,Addition,Medium
Preattentive Test,6,267,3,3,Addition,Medium
Preattentive Test,6,268,3,3,Addition,Medium
Preattentive Test,6,269,3,3,Addition,Medium
Preattentive Test,6,270,3,3,Addition,Medium
